"","v1_value","v2_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","n","v1","v2","restriction"
"90","1","1",0.826347305389222,55,7592.79661016949,0.0367130464880583,334,"judge_is_woman","defendant_is_woman",""
"91","1",NA,0.850467289719626,110.294736842105,10367.0886075949,0.0838451117483212,107,"judge_is_woman","defendant_is_woman",""
"92",NA,"0",0.871369294605809,69.1428571428572,8297.3544973545,0.0746627014637794,241,"judge_is_woman","defendant_is_woman",""
"93",NA,"1",0.862068965517241,49.1153846153846,5825,0.0309578350972038,29,"judge_is_woman","defendant_is_woman",""
"94",NA,NA,1,151.153846153846,12159.0909090909,0.0653407640602399,13,"judge_is_woman","defendant_is_woman",""
"95","0","0",0.8408057179987,93.0392301998519,8577.42640499554,0.0643879395711179,1539,"judge_is_woman","defendant_some_foreign_background",""
"96","0","1",0.850157728706625,96.1481481481482,6412.84403669725,0.057567477511129,634,"judge_is_woman","defendant_some_foreign_background",""
"97","0",NA,0.830434782608696,93.4257425742574,9098.55263157895,0.0621182766343576,230,"judge_is_woman","defendant_some_foreign_background",""
"98","1","0",0.843592964824121,78.5237420269312,9866.23295944781,0.0555993097432145,1592,"judge_is_woman","defendant_some_foreign_background",""
"99","1","1",0.819884726224784,95.1073825503356,7095.03105590062,0.0582156876943474,694,"judge_is_woman","defendant_some_foreign_background",""
"100","1",NA,0.849206349206349,108.208888888889,8856.0582010582,0.059127980176066,252,"judge_is_woman","defendant_some_foreign_background",""
"101",NA,"0",0.887179487179487,76.0277777777778,9301.29032258064,0.0714338118418654,195,"judge_is_woman","defendant_some_foreign_background",""
"102",NA,"1",0.80952380952381,38.3921568627451,3568.18181818182,0.0411692759295499,63,"judge_is_woman","defendant_some_foreign_background",""
"103",NA,NA,0.96,104.12,10464.2857142857,0.113292023640445,25,"judge_is_woman","defendant_some_foreign_background",""
"104","0","0",0.843855421686747,95.8757493188013,7732.38911290323,0.0632116262502947,2075,"judge_is_woman","defendant_is_married",""
"105","0","1",0.821782178217822,83.3005780346821,11680.1470588235,0.0554400023000054,202,"judge_is_woman","defendant_is_married",""
"106","0",NA,0.849206349206349,78.0446428571428,8235.05882352941,0.051185683892589,126,"judge_is_woman","defendant_is_married",""
"107","1","0",0.843137254901961,83.9019101703666,8681.28247162672,0.0554289639236676,2193,"judge_is_woman","defendant_is_married",""
"108","1","1",0.781512605042017,94.1600000000001,11735.813253012,0.0600789305071808,238,"judge_is_woman","defendant_is_married",""
"109","1",NA,0.850467289719626,110.294736842105,10367.0886075949,0.0838451117483212,107,"judge_is_woman","defendant_is_married",""
"110",NA,"0",0.87551867219917,65.7798165137615,8437.56613756613,0.0644467094387682,241,"judge_is_woman","defendant_is_married",""
"111",NA,"1",0.827586206896552,77.64,4500,0.104210697977821,29,"judge_is_woman","defendant_is_married",""
"112",NA,NA,1,151.153846153846,12159.0909090909,0.0653407640602399,13,"judge_is_woman","defendant_is_married",""
"113","0","1",0.843594009983361,147.315196998124,3537.67772511848,0.069474449431568,601,"judge_is_woman","defendant_net_income_quantile",""
"114","0","2",0.848966613672496,85.2754919499105,5454.48430493274,0.0614595769217547,629,"judge_is_woman","defendant_net_income_quantile",""
"115","0","3",0.839506172839506,70.1867469879518,7660.79404466501,0.0634237730919554,567,"judge_is_woman","defendant_net_income_quantile",""
"116","0","4",0.836633663366336,71.5905660377359,15482.5913242009,0.051317366191273,606,"judge_is_woman","defendant_net_income_quantile",""
"117","1","1",0.816901408450704,125.4375,3992.37185929648,0.0586834215135629,568,"judge_is_woman","defendant_net_income_quantile",""
"118","1","2",0.857364341085271,91.3321739130435,5238.50931677019,0.0625817005567257,645,"judge_is_woman","defendant_net_income_quantile",""
"119","1","3",0.83480825958702,79.9797297297297,8901.28486055777,0.0586877829648192,678,"judge_is_woman","defendant_net_income_quantile",""
"120","1","4",0.839258114374034,52.2794376098418,17741.1830357143,0.04401761274708,647,"judge_is_woman","defendant_net_income_quantile",""
"121",NA,"1",0.912280701754386,73.3846153846154,3086.95652173913,0.036742599036303,57,"judge_is_woman","defendant_net_income_quantile",""
"122",NA,"2",0.924242424242424,89.4444444444444,7016.36363636364,0.0994148066214772,66,"judge_is_woman","defendant_net_income_quantile",""
"123",NA,"3",0.84,80.0746268656716,9118.42105263158,0.0853018538391937,75,"judge_is_woman","defendant_net_income_quantile",""
"124",NA,"4",0.847058823529412,46.3513513513514,12432.2580645161,0.056377510853184,85,"judge_is_woman","defendant_net_income_quantile",""
"125","0","0",0.851648351648352,115.568322981366,5248.26254826255,0.0548647345639603,364,"judge_is_woman","case_is_not_oslo",""
"126","0","1",0.840608141245708,90.0283648498331,8575.84482758621,0.063998302087539,2039,"judge_is_woman","case_is_not_oslo",""
"127","1","0",0.870292887029289,84.0491803278689,5567.72334293948,0.0501080592697541,478,"judge_is_woman","case_is_not_oslo",""
"128","1","1",0.830097087378641,86.3927977839332,9840.74056603772,0.0590310003582595,2060,"judge_is_woman","case_is_not_oslo",""
"129",NA,"0",0.857142857142857,45.0526315789474,7671.875,0.03382257012394,21,"judge_is_woman","case_is_not_oslo",""
